Tweet;Classificacao
Isso eu deixo pra vc procuro sempre aprender pois como dizia Sócrates "só sei q nada sei"  agora vc acha q sabe alguma coisa e não passa de um ignorante medíocre cara como vc é ridículo fala sem conhecimento nenhum a realidade na sua cara é tipo corno conformado;sim
Vadia esnobando os fã clube pqp Por mim que sua mãe te  jogue aos lobos FODA-SE;sim
bear feia chata burra enjoada trouxa ciumenta barraqueira nojenta metida doida baixa alta magrela idiota;sim
sério vai se fuder esse arrombado corno merda seca lixo bosta viado do caralho tomara que MORRA pra nunca mais incomodar ela;sim
DORIA É LIXO  LOUCO E BOSTA;sim
oq o dae tem a ver com isso sua cadela imunda vai se foder se vc ta cagando pro teu fav que pula de grupo em grupo n vem encher a porra do saco de quem realmente quer ajudar o grupo e tá pedindo que eles descanse sua vadia tinha q ser nctzen essa praga acho ;sim
filha da puta mau carater do caralho eu te odeio tanto seu monte de merda tu vai queima no inferno;sim
mas ja kksksksk se eu fosse esse senhor tinha metido o processo no cu do viado sem noção;sim
amg estou me sentindo ofendida sua vagabunda de merda;sim
mds sim e ela respondendo pro brasileiro que se morasse longe como nós era só comprar passagem e ir no show da miley pqp que ódio riquinha nojenta;sim
q ensinar essa imunda na dm oq da block nessa cadela desgraçada;sim
VAI TOMAR NO CU CARIOK SEU EMRDA FIKGO DNAPUTA FAVELADO DE MERDA EU TE ODIO;sim
Armin eh mais um personagem genérico mal construído feito pros fans mais casuais se identificarem chorão bundão;sim
Nojenta;sim
hj baitola;sim
Passa frio porque quer eu tô louco pra cobrir você na porrada;sim
ata desculpa nojenta;sim
eu vou te matar juliana sua vagabunda  kylespuzio;sim
Ta louco Encosta nela que eu te deito na porrada;sim
esqueceu do abel é puta piranha vadia cachorra safada demente mongol azeda magrela olivia palito peituda siliconada tarada cuzona corna ridícula desajeitada sem classe paulista tricolor adm da bchart fã da alexandrismos curtidora do quebrando tabu bolsonarista lunática banguense;sim
Esse maluco é um arrombado E o respeito com a instituição Cruzeiro Não teve e agora tomou o que merece;sim
125500 mortos E o que vc como senador fez pra evitar isso Seu filho de uma puta Vagabundo Vc é um verme Anda na rua como o presidente anda Não tem coragem Pq vc é um merda;sim
vagabunda né;sim
Oi b-army tá vendo isso aqui aqui tem playlist no spotify de vários tipos pra você dar STREAM EM DYNAMITE SUA VAGABUNDA PREGUIÇOSA NÃO CUSTA NADA INFERNO A GENTE TÁ CAINDO E VOCÊS AÍ FAZENDO MERDA NENHUMA VAI DAR STREAM VADIA PUTA PORRA;sim
Enfia teu voto no cu seu verme desgraçado Vagabundo Bundão Pedaço de bosta Vai sifudê Vai cagar ooooo dimenor;sim
Corre que o corno tá puto askharryp;sim
Muito preparado intelectualmente e emocionalmente dá pra vê cala boca E daí Encher a cara de porradaquem mirre de covid é bundaocomeu merda ou;sim
Boa noite è um grande vagabundo e safado è o medo é de mais;sim
Vagabunda gorda;sim
Odeio ver um gordo feio preto com uma gostosa linda princesa Isso é tão nojento;sim
Vai pro Alasca com um macacão laranja máscara e algemas prisão perpétua ou um tiro na nuca;sim
Aaaah sougordo igual um poste Já vocêgordolinhaesquisito e entrosado;sim
Arrombado imbecil se fodeu foi pouco;sim
E tu arrombado sendo roubado pela milícia bolsonaro e aplaudindo É um burro ou só covarde marmitinha de bandido;sim
Pedindo gala a vagabunda;sim
Esse lixo verme que luta contra o Brasil é um dos maiores hipócritas que eu vi Willian Bonner vc é um merda falso mas que fede muito;sim
vem aqui pra eu quebrar um na sua cabeca então vadia;sim
O sua puta vadia;sim
te marquei num trem e vc nem viu sua puta desgraçada infeliz mal amada lambisgoia chata imbecil magrela que grita;sim
feio imundo cabelo oleoso e feio xato pescotapa abusivo toxico manipulador estranho momo corno areombado lixo chorume bosta viadinho estranho amedrontador ameacador sem nocao se m coracao;sim
n te conheço vinicinhos mas eu te odeio;sim
