Tweet;Classificacao
Lá vem a Pati que não conhece a palavra empatia Riquinha nojenta asquerosa;sim
Que gordo nojento todo mundo praticou pedalada e temer legalizou depois mas dentre todos ele só crítica a Dilma Ah vtnc nhonho;sim
Quer cargo público  Pra ganhar  dinheiro  e fazer fofocas  Tem um preço  seu Gordo nojento;sim
Pra acabar com a sua raça suja eu topo tudo vadia só o tanto que vc me percegue me fez te odiar muito sua puta maldita eu vou te perceguir pra sempre sua cadela imunda suja odiosa;sim
eu mandei a tarefa TRÊS VEZES PARA PUTA DESSA PROFESSORA E ELA NÃO CONTOU NENHUMA DAS VEZES SEM CONTAR QUE ELA FALOU QUE EU NÃO FIZ NENHUMA TAREFA SENDO QUE EU SÓ NÃO FIZ UMA KELLY SUA PUTA DESGRAÇADA VADIA MAL COMIDA AGUA DE CHUCA FILHA DA PUTINHA PS5 ESTRAGADO MEU DEUS QUE ODI;sim
ta me tirando sua vadia;sim
não grita com o meu cachorro sua desgraçada tá achando oq quer acabar com a boca cheia de formiga hein vadia;sim
Me mama sua vadia do centrão;sim
Gordo pobre que come en patio de comidas de Shopping Jajajajajajajajajajajajajaj a que cobras IFE Gil;sim
É a primeira vez que eu vejo um macaco judeu;sim
preto podre e favelado;sim
E se falar mais uma gracinha vou expor você e você sabe muito bem qué é você;sim
KKKKKKKKKK você sabe que não é bem assim para de se fazer de sonso Vou te expor se continuar se fazendo de cinico;sim
inbecil nojenta feia magrela que grita;sim
voçe é uma merda indiota chata inbecil nojenta feia magrela que grita;sim
PAPAROLA MALDITO À FARSA DE VOCÊS IDS VAGABUNDOS VAI ACABAR VAI TRABALHAR VAGABUNDO LAMBENDO OS OVOS DO MALDITO BAP SEU GORDO NOJENTO E ASQUEROSO À FARSA VAI CAIR SEU MERDA;sim
Ufa ainda bem que teus amigos são tudo macaco;sim
Só me dás razão favelado Dizes mentiras que o atlético das favelas compra o Benfica Isto não é uma provocação Nunca saias da favela Estás bem é aí animal;sim
Contenha se gordo nojento;sim
Pensando q era carinho q te davam mas n era pq tu nem na escola te aceitavam pq vai q pa assistir um filme de terror botavam tu numa sala com um pack de 64 de alface seu gordo nojento do carai barata morre quando passa perto do teu buraco que nem casa tu tem pq seus familiar n qr;sim
quebrando sua bunda na porrada quer o troco da mamada vadia ;sim
 uma vagabunda tinha roubado meu wingsarts sua puta vadia feiosa cracuda doente sequelada;sim
 sim hoje vou expor você e todas as merdas que você já fez;sim
-disse a branca magrela;sim
É o gordo do Danilo mesmo Se o Danilo disser que o Bolsonaro é medíocre eu vou dizer tbm Gordo nojento;sim
PUTA VADIA CACHORRA DESGRAÇADA ALOPRADA BUCETUDA SAI DA MINHA TIMELINE PUTA QUE PARIU NÃO AGUENTO MAIS SUA CARA;sim
garota grava bem o que eu vou escrever eu vou agora mesmo hackear a sua conta hackear seu email pra descobrir os seus dados e de quem mora com você e vou expor aqui no twitter se você não parar com isso;sim
então já que tu não me passou o ct da tua amiga tu é uma riquinha mimada chata nojenta e escrota KKKKKKKKKKKKKKKKKK m_vidotto2 YPazatto;sim
temos aqui uma discrepância na frase deste macaco falante do sexo feminino;sim
AI QUE ÓDIO VEY VONTADE DE MATAR ESSE VIADO;sim
Braz ta muito puto não deve ter almoçado gordo com fome fica assim mesmo eu sei;sim
Viado bolsonarista é a pior coisa q tem nesse mundo vtnc;sim
Maldito viado;sim
Se eu bater 600 follows em 1 hora significa que o GESH é macaco;sim
feeling baleia enorme gordo nojento;sim
tá cada vez mais gordo e papudo acho que tá se lambuzando com as lagostas do SSTF cara nojento;sim
A foto de perfil dele deve refleti a personalidadeum gordo nojento e escroto que compra briga pra perde;sim
Amigo do Escroto Gentili e do Gordo Nojento Coruja;sim
Video "teen" mano Gordo seboso nojento filho de uma puta;sim
Está vaca é sem noção  a mamata deve ter acabado né  sua vadia nojenta Eu sei o que deveria ser enfiado mais 3 vezes ;sim
 qq caralhos esse desenho fala nuncavi esa pora so vi macaco usando foto dessa merdakj;sim
Porque RodrigoMaia é um porco gordo nojento o povo odeia ele;sim
crl dêem logo um tiro a este gordo nojento fdp;sim
Fodase seu gordo nojento lixo patetico;sim
te odeio puta vadia desgraçada gira bolsinha filha da puta cu buceta pinto do bolsonaro gozo do cu do moro filha da mae estrume resto de aborto rata de esgoto bruxa capenga cirupira mas sua conta eh linda;sim
A LAGARTIXA LAGARTIXA SUA PUTA TQ ME CHAMANO DE LAGARTIXA É VADIA;sim
caralho cabeça de betoneira de fazer cimento abre essa live logo seu macaco cabeçudo;sim
tinha q ser uma riquinha nojenta ai ai;sim
o gordo imundo e nojento e fodido a criança não podia gerar um filho se não ela ia morrer seu verme mamador do estado;sim
Se ele for melhor que o Daniel gordo Carvalho Pq não ;sim
GORDO FILHO DA PUTA;sim
fodase seu nome eh churros vc deve ser um gordo nojento;sim
e quem é vc pra dizer algo eu tenho MIL imagens de vc traindo a Yves comigo e com outras amantes suas e eu vou expor tudo em rede nacional nas minhas próximas participações na TV aberta Você é tão lixoso que ainda nem disfarça que o pau tá caído de tanto comer outras;sim
eu te odeio tanto seu velho caquético;sim
eu te odeio sua kpoper desgraçada kkkkk vsf;sim
idiota gordo baleia comilão só sabe comwr rolha de poço do caralho tomara que morra sufocado com comida pra aprender;sim
Pra vc só cabe uma resposta Vai tomar no meio do seu cu sua vadia nojenta;sim
FDP VIADINHO FEIO SAPO HORRIVEL DESAGRADAVEL NOJENTO RIDICULO CU DE MACACO SFD NOJENTO;sim
Aaaah sougordo igual um poste Já vocêgordolinhaesquisito e entrosado;sim
Pega a tua dica e enfia no teu cu viado preciso de professor não filho da puta;sim
porra parem de humilhar esse gordo seboso ele ja acorda todo dia e tem q ser olhar pro espelho e se sentir humilhado não precisa pegar pesado galera deixa o gordo seboso nojento safado ser feliz hateando;sim
